"sigma_u","tau_true","tau_oracle_mean","tau_naive_mean","tau_cal_mean","tau_placebo_mean","tau_oracle_q025","tau_oracle_q975","tau_naive_q025","tau_naive_q975","tau_cal_q025","tau_cal_q975","beta_true","beta_oracle_mean","beta_naive_mean","beta_cal_mean"
0,1,1.00351171944875,1.00351171944875,1.00351171944875,-0.0340802477251723,1.00351171944875,1.00351171944875,1.00351171944875,1.00351171944875,1.00351171944875,1.00351171944875,1,0.969251392046829,0.969251392046829,0.969251392046828
0.2,1,1.00351171944875,1.03806513827129,1.03806513827129,0.0020641420945822,1.00351171944875,1.00351171944875,1.02785751505066,1.04695196054414,1.02785751505066,1.04695196054414,1,0.969251392046829,0.923975362790039,0.959196288946934
0.5,1,1.00351171944875,1.18092721379576,1.18092721379576,0.15250270646742,1.00351171944875,1.00351171944875,1.15809106672712,1.20125758914871,1.15809106672712,1.20125758914871,1,0.969251392046829,0.746707026176214,0.929576212692185
1,1,1.00351171944875,1.42127687767026,1.42127687767026,0.400620233878647,1.00351171944875,1.00351171944875,1.40150818249226,1.44827586872764,1.40150818249226,1.44827586872764,1,0.969251392046829,0.442006025512262,0.884513675568548
2,1,1.00351171944875,1.6433657409734,1.6433657409734,0.628896507528561,1.00351171944875,1.00351171944875,1.62049321090874,1.6638985015441,1.62049321090874,1.6638985015441,1,0.969251392046829,0.166775397139499,0.813821315655548
